xx,xy,xz,yx,yy,yz,zx,zy,zz
5.474996,0.000000,0.017760,0.000000,5.470001,0.000000,0.140754,0.000000,41.711625
5.475128,0.000000,0.017715,0.000000,5.470210,0.000000,0.140410,0.000000,41.712069
5.475074,0.000000,0.017678,0.000000,5.470189,0.000000,0.140127,0.000000,41.712043
5.475100,0.000000,0.017653,0.000000,5.470232,0.000000,0.139931,0.000000,41.712940
5.475015,0.000000,0.017631,0.000000,5.470153,0.000000,0.139765,0.000000,41.712666
5.474734,0.000000,0.017607,0.000000,5.469881,0.000000,0.139575,0.000000,41.712607
5.474725,0.000000,0.017606,0.000000,5.469872,0.000000,0.139571,0.000000,41.712633
5.475023,0.000000,0.017649,0.000000,5.470150,0.000000,0.139906,0.000000,41.712474
5.474670,0.000000,0.017583,0.000000,5.469867,0.000000,0.139389,0.000000,41.712978
5.474541,0.000000,0.017539,0.000000,5.469818,0.000000,0.139045,0.000000,41.715703
5.474634,0.000000,0.017547,0.000000,5.469900,0.000000,0.139111,0.000000,41.713974
5.475189,0.000000,0.017550,0.000000,5.470442,0.000000,0.139148,0.000000,41.714943
5.475137,0.000000,0.017550,0.000000,5.470350,0.000000,0.139143,0.000000,41.715197
5.474838,0.000000,0.017538,0.000000,5.470029,0.000000,0.139053,0.000000,41.713706
5.475048,0.000000,0.017507,0.000000,5.470257,0.000000,0.138824,0.000000,41.711817
5.474817,0.000000,0.017502,0.000000,5.470037,0.000000,0.138785,0.000000,41.711869
5.474508,0.000000,0.017489,0.000000,5.469787,0.000000,0.138678,0.000000,41.711368
5.474587,0.000000,0.017488,0.000000,5.469925,0.000000,0.138668,0.000000,41.711470
5.474801,0.000000,0.017483,0.000000,5.470175,0.000000,0.138639,0.000000,41.712659
5.474953,0.000000,0.017463,0.000000,5.470318,0.000000,0.138485,0.000000,41.714311
5.474666,0.000000,0.017426,0.000000,5.470002,0.000000,0.138191,0.000000,41.715659
5.474602,0.000000,0.017427,0.000000,5.469945,0.000000,0.138204,0.000000,41.714004
5.475106,0.000000,0.017439,0.000000,5.470455,0.000000,0.138303,0.000000,41.714342
5.474941,0.000000,0.017430,0.000000,5.470283,0.000000,0.138229,0.000000,41.713849
5.474941,0.000000,0.017430,0.000000,5.470283,0.000000,0.138229,0.000000,41.713849
